"Date","Expense (tags)","Amount","Currency","Description"
"2011-10-11","energy","1.5","EUR",""
"2011-10-14","food","2.95","EUR",""
"2011-10-14","food, gifts","28.16","EUR",""
"2011-10-15","apps","1.59","EUR",""
"2011-10-15","energy","2.59","EUR",""
"2011-10-18","energy","1.5","EUR",""
"2011-10-18","postcards, shipping","3.47","EUR",""
"2011-10-18","fuel","1.4","EUR",""
"2011-10-18","postcards","2","EUR",""
"2011-10-19","food","1.8","EUR",""
"2011-10-20","fuel","1.7","EUR",""
"2011-10-20","funz","5","EUR",""
"2011-10-20","bus","5","EUR",""
"2011-10-21","apps","0.79","EUR",""
"2011-10-24","supplies","2.4","EUR",""
"2011-10-25","energy","2.88","EUR",""
"2011-10-27","energy","2.88","EUR",""
"2011-10-27","misc","3.69","EUR",""
"2011-10-29","partying","40","EUR",""
"2011-10-29","spotify","11.36","EUR",""
"2011-10-30","food","23.7","EUR",""
"2011-10-30","energy","9.4","EUR",""
"2011-11-03","tea","2.49","EUR",""
"2011-11-03","energy","2.3","EUR",""
"2011-11-04","domain","7.24","EUR",""
"2011-11-04","apps","1.59","EUR",""
"2011-11-07","food","3.72","EUR",""
"2011-11-07","gifts","0.89","EUR",""
"2011-11-07","fuel","1.4","EUR",""
"2011-11-09","energy","6.9","EUR",""
"2011-11-10","grooming","3.6","EUR",""
"2011-11-11","energy","4.4","EUR",""
"2011-11-11","food","2.29","EUR",""
"2011-11-11","bus","10","EUR",""
"2011-11-14","clothes","70","EUR",""
"2011-11-14","expenses","100","EUR",""
"2011-11-15","tech","9.4","EUR",""
"2011-11-15","tea","5.6","EUR",""
"2011-11-15","misc","10","EUR",""
"2011-11-15","food","3.79","EUR",""
"2011-11-16","food","3.7","EUR",""
"2011-11-17","food","0.87","EUR",""
"2011-11-17","fuel","2","EUR",""
"2011-11-17","fuel","1.5","EUR",""
"2011-11-17","tech","8.68","EUR",""
"2011-11-17","energy","2.88","EUR",""
"2011-11-17","fuel","2.1","EUR",""
"2011-11-20","partying","25","EUR",""
"2011-11-21","food","3.6","EUR",""
"2011-11-21","funz","8","EUR",""
"2011-11-22","expenses","100","EUR",""
"2011-11-23","energy","4.6","EUR",""
"2011-11-23","sport","149.29","EUR",""
"2011-11-25","toys","1.3","EUR",""
"2011-11-25","food","0.87","EUR",""
"2011-11-26","tea","11.8","EUR",""
"2011-11-28","food","6.76","EUR",""
"2011-11-28","cat","1.31","EUR",""
"2011-11-29","cat","140","EUR",""
"2011-11-29","spotify","11.36","EUR",""
"2011-11-30","cat","12.6","EUR",""
"2011-11-30","food","5.6","EUR",""
"2011-11-30","fuel","1.4","EUR",""
"2011-12-01","food","7.23","EUR",""
"2011-12-01","cat","7.56","EUR",""
"2011-12-02","culture","12","EUR",""
"2011-12-02","energy","4.6","EUR",""
"2011-12-02","fuel","2","EUR",""
"2011-12-02","cat","10.7","EUR",""
"2011-12-02","cat","32.2","EUR",""
"2011-12-04","culture","15","EUR",""
"2011-12-05","grooming","2.62","EUR",""
"2011-12-05","tea","8.9","EUR",""
"2011-12-06","art","17.62","EUR",""
"2011-12-06","energy","4.6","EUR",""
"2011-12-07","dreamhost","16.33","EUR",""
"2011-12-07","food","0.9","EUR",""
"2011-12-09","energy","4.6","EUR",""
"2011-12-09","expenses","100","EUR",""
"2011-12-09","drinks","6","EUR",""
"2011-12-09","food","8.27","EUR",""
"2011-12-10","funz","3.74","EUR",""
"2011-12-10","cat","1.87","EUR",""
"2011-12-12","gifts","27.58","EUR",""
"2011-12-12","food","9.77","EUR",""
"2011-12-12","food","3.73","EUR",""
"2011-12-13","cat","15.8","EUR",""
"2011-12-14","misc","18.07","EUR",""
"2011-12-14","misc","13.11","EUR",""
"2011-12-14","misc","31","EUR",""
"2011-12-14","food","1.87","EUR",""
"2011-12-15","fuel","2","EUR",""
"2011-12-15","food","3.97","EUR",""
"2011-12-16","energy","5","EUR",""
"2011-12-16","drugs","85.9","EUR",""
"2011-12-17","energy","5.9","EUR",""
"2011-12-19","tea","8.75","EUR",""
